ID,Theme,English Message,Armenian Message
1,Motivation & Focus,You are capable of wonderful things.,Դու ունակ ես հրաշալի բաների:
2,Motivation & Focus,Take it one small step at a time.,Առաջ գնա փոքրիկ քայլերով:
3,Motivation & Focus,"Focus on your progress, not perfection.","Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
4,Motivation & Focus,You have the strength to overcome this challenge.,Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
5,Motivation & Focus,Your efforts are building a beautiful future.,Քո ջանքերը կերտում են գեղեցիկ ապագա:
6,Motivation & Focus,Trust your pace. You are not falling behind.,Վստահիր քո տեմպին: Դու հետ չես մնում:
7,Motivation & Focus,Every tiny bit of effort counts.,Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
8,Motivation & Focus,Give yourself credit for trying your best today.,Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
9,Motivation & Focus,"It is okay to pause, as long as you don't give up.","Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
10,Motivation & Focus,You bring a unique light to everything you do.,"Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
11,Motivation & Focus,Your potential is endless.,Քո ներուժն անսահման է:
12,Motivation & Focus,"Keep going, your future self will thank you.","Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
13,Motivation & Focus,You are planting seeds for tomorrow's success.,Դու սերմեր ես ցանում վաղվա հաջողության համար:
14,Self-Care,Allow yourself a moment to rest and reset.,Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
15,Self-Care,Drinking a little water right now could feel really refreshing.,Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
16,Self-Care,"Stretch softly, listen to what your body needs.","Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
17,Self-Care,Resting is just as productive as working.,"Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
18,Self-Care,Make sure you nourish your body with something tasty today.,"Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
19,Self-Care,Stepping away from the screen for a minute can work wonders.,Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
20,Self-Care,Your well-being is your most important project.,Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
21,Self-Care,Let your shoulders drop and find a comfortable position.,Թուլացրու ուսերդ և գտիր հարմար դիրք:
22,Self-Care,Treat yourself with the same kindness you offer friends.,"Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
23,Self-Care,A warm cup of tea or coffee is waiting to comfort you.,Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
24,Self-Care,Give your eyes a gentle break and look at something green.,Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
25,Self-Care,Do one small thing that makes you smile right now.,"Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
26,Self-Care,"Self-care isn't selfish, it's essential.","Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
27,Self-Acceptance,"You are entirely enough, exactly as you are.","Դու լիովին բավարար ես այնպես, ինչպես կաս:"
28,Self-Acceptance,"Embrace your unique journey, there is no one else like you.","Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
29,Self-Acceptance,Your worth is not measured by your productivity.,Քո արժեքը չի չափվում քո արտադրողականությամբ:
30,Self-Acceptance,It is wonderful to just be yourself.,Հրաշալի է պարզապես լինել ինքդ քեզ պես:
31,Self-Acceptance,Forgive yourself for the mistakes; they help you grow.,"Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
32,Self-Acceptance,Your imperfections make you beautifully human.,Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
33,Self-Acceptance,Celebrate the person you are becoming every single day.,"Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
34,Self-Acceptance,"You are worthy of love, especially from yourself.","Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
35,Self-Acceptance,Let go of the need to be perfect.,Բաց թող կատարյալ լինելու կարիքը:
36,Self-Acceptance,"You belong right here, exactly where you are.","Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
37,Self-Acceptance,You don't need to earn your worth; you are inherently valuable.,"Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
38,Self-Acceptance,Speak to yourself like someone you deeply love.,"Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
39,Mental Health,"Breathe in peace, breathe out any lingering stress.","Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
40,Mental Health,It is completely okay to feel overwhelmed sometimes.,Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
41,Mental Health,Be very gentle with your mind today.,Այսօր շատ մեղմ եղիր քո մտքերի հետ:
42,Mental Health,"Your feelings are valid, whatever they may be.","Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
43,Mental Health,You don't have to have everything figured out right now.,"Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
44,Mental Health,Protect your peace; it's okay to say no.,"Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
45,Mental Health,"Healing takes time, and you are doing your best.","Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
46,Mental Health,"Take things one day, or even one hour, at a time.","Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
47,Mental Health,You are safe right here in this moment.,Այս պահին դու ապահով ես հենց այստեղ:
48,Mental Health,Let your thoughts pass like clouds in the sky.,Թող մտքերդ անցնեն երկնքի ամպերի պես:
49,Mental Health,"It takes courage to keep going, and I am proud of you.","Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
50,Mental Health,Release the tension you are carrying in your body.,"Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
51,Motivation & Focus,Just a gentle reminder: You are capable of wonderful things.,Պարզապես մեղմ հիշեցում՝ Դու ունակ ես հրաշալի բաների:
52,Motivation & Focus,Just a gentle reminder: Take it one small step at a time.,Պարզապես մեղմ հիշեցում՝ Առաջ գնա փոքրիկ քայլերով:
